School name,State,City,Degree of urbanization,Number of applicants,Has Early Decision (ED) Plan?,Has Early Action (EA) Plan?,Acceptance rate,ED admit rate,EA admit rate,RD admit rate,Average GPA,GPA Weighted,Percent of students with GPA (4.0+),Percent of students with GPA (3.75-3.99),Percent of students with GPA (3.00-3.24),Percent of students with GPA (3.25-3.49),Percent of students with GPA (2.00-2.49),Percent of students with GPA (Below 1.00),Percent of students with GPA (2.50-2.99),Percent of students with GPA (3.50-3.74),ACT Composite 25th,ACT Composite 50th,ACT Composite 75th,ACT English 75th,ACT Reading 75th,ACT Reading 50th,ACT English 50th,ACT English 25th,ACT Reading 25th,ACT Math 25th,ACT Science 25th,ACT Science 50th,ACT Math 50th,ACT Math 75th,ACT Science 75th,Percentage of enrolled freshmen submitting ACT scores,SAT Reading 25th,SAT Reading 50th,SAT Reading 75th,SAT Math 75th,SAT Composite 50th,SAT Composite 75th,SAT Math 50th,SAT Math 25th,SAT Composite 25th,Percentage of enrolled freshmen submitting SAT scores,Percent Women,Percent Men,Percent Non-binary,Percent Hispanic/Latino,Percent Black or African American,Percent White or Caucasian,Percent American Indian or Alaska Native,Percent Asian,Percent Native Hawaiian or Pacific Islander,Percent Other,Published in-state tuition and fees,Published out-of-state tuition and fees,Total price for in-state students living on campus,Number of men enrolled,Number of women enrolled,Number of students enrolled,Estimated undergraduate enrollment full time,4 year graduation rate,Retention rate,6 year graduation rate,Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (dollar amt),Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (percentage),Average amount of institutional grant aid received by full-time first-time undergraduates,Average net price-students receiving grant or scholarship aid,Average amount of other federal grant aid received by full-time first-time undergraduates,Average amount of Pell grant aid received by full-time first-time undergraduates,Average amount of state/local grant aid received by full-time first-time undergraduates,Average amount of student loan aid received by full-time first-time undergraduates,Average amount of federal student loan aid received by full-time first-time undergraduates,Average amount of other student loan aid received by full-time first-time undergraduates,Average amount of federal  state  local or institutional grant aid received,Percent of full-time first-time undergraduates receiving any financial aid,Percent of full-time first-time undergraduates receiving federal state local or institutional grant aid,Percent of full-time first-time undergraduates receiving other federal grant aid,Percent of full-time first-time undergraduates receiving state/local grant aid,Percent of full-time first-time undergraduates receiving Pell grants,Percent of full-time first-time undergraduates receiving any loans to students or grant aid  from federal state/local government or the institution,Percent of full-time first-time undergraduates receiving institutional grant aid,Percent of full-time first-time undergraduates receiving federal student loans,Percent of full-time first-time undergraduates receiving student loan aid,Percent of full-time first-time undergraduates receiving other loan aid,Percent of full-time first-time undergraduates  receiving federal grant aid,Average net price (income over 110 000),"Average net price (income 75,001-110,000)","Average net price (income 48,001-75,000)","Average net price (income 30,001-48,000)","Average net price (income 0-30,000)",Student
Babson College,MA,Wellesley,Suburb: Large,"9,381",Yes,Yes,17%,28%,---,16%,---,---,---,---,---,---,---,---,---,---,31,31,34,35,---,---,33,32,---,31,---,---,31,34,---,3%,670,690,740,790,1440,1500,750,720,1380,22%,49%,51%,---,24%,7%,38%,---,18%,---,13%,"$58,560","$58,560","$85,416",321,304,626,"2,793",83%,95%,93%,"$27,174",7%,"$45,223","$30,220","$1,786","$5,696","$3,833","$10,824","$4,132","$30,505","$47,028",45%,36%,6%,2%,14%,43%,36%,27%,29%,7%,14%,"$58,685","$35,383","$21,924","$14,369","$21,270",
Bakersfield College,CA,Bakersfield,City: Large,"3,850",No,No,79%,---,---,79%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,60%,40%,---,65%,6%,21%,---,4%,---,4%,"$1,430","$11,510","$25,748",235,358,---,"30,410",---,---,---,---,---,$773,"$5,892",$931,"$4,270","$2,910","$5,974","$5,320","$13,822","$7,923",84%,84%,61%,81%,65%,84%,20%,1%,1%,---,73%,"$12,508","$10,237","$7,190","$4,254","$4,126",
Bard College,NY,Annandale-On-Hudson,Town: Fringe,"7,583",Yes,Yes,52%,---,---,52%,---,---,---,---,---,---,---,---,---,---,30,31,32,35,---,---,32,31,---,25,---,---,27,30,---,7%,670,710,740,700,1370,1440,660,620,1290,13%,63%,37%,---,15%,7%,62%,---,4%,---,11%,"$69,672","$69,672","$89,472",183,317,402,"2,037",53%,85%,67%,"$34,750",3%,"$54,213","$25,218","$1,128","$5,371","$3,732","$7,145","$6,150","$17,841","$56,380",84%,77%,16%,13%,20%,84%,77%,47%,47%,3%,36%,"$43,347","$26,909","$19,816","$17,710","$13,609",
Bard College at Simon's Rock,MA,Great Barrington,Town: Distant,191,---,No,97%,---,---,97%,3.54,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,62%,38%,---,9%,10%,53%,1%,8%,7%,13%,"$69,320","$69,320","$89,120",39,64,102,313,12%,77%,23%,"$7,546",32%,"$36,518","$45,395",$730,"$5,084","$1,000","$6,413","$4,933","$20,625","$37,292",100%,100%,20%,1%,21%,100%,99%,51%,56%,5%,41%,"$43,758","$37,425","$24,431","$25,473","$34,687",
Barnard College,NY,New York,City: Large,"11,803",Yes,No,8%,26%,---,5%,4.13,Yes,55%,37%,---,2%,---,---,---,6%,32,33,34,35,---,---,35,33,---,29,---,---,31,34,---,15%,730,750,770,790,1510,1550,760,740,1453,35%,100%,---,---,17%,7%,38%,---,26%,---,12%,"$73,033","$73,033","$99,824",---,710,711,"3,269",80%,97%,93%,---,---,"$52,716","$27,738","$2,940","$5,601","$3,098","$7,781","$4,838","$22,861","$56,190",62%,48%,24%,20%,10%,60%,47%,57%,58%,8%,34%,"$58,447","$24,152","$17,279","$9,011","$14,486",
Bastyr University,WA,Kenmore,Suburb: Large,"9,530",Yes,No,76%,---,---,76%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3%,5%,59%,1%,24%,1%,7%,"$31,514","$31,514","$35,414",---,---,---,58,---,---,---,---,---,---,---,---,"$4,054",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Bates College,ME,Lewiston,City: Small,"10,027",Yes,No,13%,27%,---,12%,---,---,---,---,---,---,---,---,---,---,30,32,33,---,---,---,---,---,---,---,---,---,---,---,---,4.71%,690,720,745,770,1450,1510,730,690,1400,14.96%,54%,46%,---,10%,5%,68%,---,7%,---,10%,"$70,146","$70,146","$92,080",216,255,505,"1,760",82%,91%,97%,---,---,"$52,664","$26,658",---,"$5,418","$2,500","$10,278","$4,567","$28,121","$53,782",47%,44%,---,1%,12%,47%,44%,15%,18%,4%,12%,"$49,109","$22,744","$8,602","$6,296","$4,263",
Bay Path University,MA,Longmeadow,Suburb: Large,821,No,Yes,74%,---,---,74%,3.4,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4%,100%,---,---,25%,12%,47%,---,2%,---,13%,"$39,061","$39,061","$56,214",---,125,111,"1,278",46%,69%,47%,"$18,052",100%,"$25,496","$14,935","$2,456","$4,065","$4,167","$7,206","$5,690","$12,268","$32,227",86%,86%,29%,45%,54%,86%,86%,64%,64%,8%,54%,"$25,198","$25,076","$12,851","$10,976","$10,194",
Baylor University,TX,Waco,City: Midsize,"46,946",Yes,Yes,51%,77%,---,51%,---,---,---,---,---,---,---,---,---,---,25,29,31,34,---,---,30,24,---,24,---,---,27,29,---,23.43%,580,650,680,680,1290,1400,640,570,1210,43.95%,58%,42%,---,18%,6%,61%,---,9%,---,6%,"$63,820","$63,820","$85,934","1,421","2,000","3,317","14,915",68%,91%,80%,"$17,382",93%,"$19,350","$49,727","$1,971","$5,106","$3,670","$16,353","$5,315","$28,566","$20,409",98%,97%,9%,15%,9%,98%,97%,39%,41%,16%,9%,"$47,442","$37,708","$32,236","$30,348","$30,674",
Beacon College,FL,Leesburg,Suburb: Midsize,674,No,No,17%,---,---,17%,3.3,No,5%,18%,11%,13%,14%,---,17%,29%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,36%,64%,---,9%,15%,68%,1%,4%,---,3%,"$54,256","$54,256","$70,788",72,41,126,531,57%,85%,58%,"$8,000",22%,"$17,957","$47,664","$5,796","$5,386","$6,894","$5,476","$5,476",---,"$21,203",97%,97%,7%,35%,14%,97%,95%,30%,30%,---,15%,"$45,193","$33,590","$23,282","$33,856","$28,819",
Bellingham Technical College,WA,Bellingham,City: Small,"6,820",No,No,17%,---,---,17%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,41%,59%,---,17%,2%,59%,1%,6%,---,16%,"$3,398","$4,329","$22,028",152,106,---,"1,850",---,---,---,---,---,"$1,566","$7,517","$2,237","$4,301","$4,850","$6,458","$5,817","$10,514","$9,416",71%,48%,43%,40%,28%,55%,20%,8%,9%,1%,44%,"$14,885","$11,503","$7,399","$6,945","$2,121",
Beloit College,WI,Beloit,City: Small,"3,853",No,Yes,63%,---,78%,53%,3.47,No,8.10%,20.80%,19.90%,16.70%,0.90%,---,10.40%,23.10%,25.5,29,31,32.5,---,---,28,26,---,25,---,---,26,30,---,9%,630,680,720,640,1280,1360,600,580,1210,8%,46%,54%,---,20%,9%,61%,---,3%,---,7%,"$62,586","$62,586","$77,748",121,103,216,"1,004",54%,81%,71%,"$44,777",100%,"$41,931","$24,941",$526,"$4,957","$3,933","$6,879","$5,270","$3,987","$43,844",100%,100%,30%,6%,31%,100%,100%,49%,64%,46%,31%,"$28,465","$25,700","$18,491","$17,610","$16,637",
Bennett College,NC,Greensboro,City: Large,723,No,No,34%,---,---,34%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8%,453,465,508,438,890,946,425,405,858,12%,100%,---,---,3%,57%,1%,1%,1%,---,39%,"$19,140","$19,140","$28,640",---,49,49,195,19%,90%,32%,"$4,000",20%,"$13,159","$20,928","$1,100","$5,765","$5,940","$6,444","$5,990","$10,000","$18,972",100%,100%,43%,20%,80%,100%,93%,73%,73%,3%,80%,---,"$22,400","$24,156","$26,755","$21,663",
Bennington College,VT,Bennington,Town: Distant,"2,996",Yes,Yes,45%,15%,56%,40%,3.53,No,1.30%,32.90%,9.30%,10.50%,2.60%,---,7.90%,34.20%,30,30,32,33,---,---,35,31,---,23,---,---,29,26,---,3.90%,703,715,750,653,1350,1413,635,588,1290,10.40%,78%,22%,---,10%,5%,73%,---,3%,---,9%,"$68,746","$68,746","$93,922",33,120,216,797,60%,82%,71%,"$45,451",98%,"$46,418","$35,108","$3,053","$5,228","$3,658","$6,503","$5,052","$13,006","$47,860",99%,98%,9%,1%,20%,99%,98%,56%,57%,7%,20%,"$43,365","$30,794","$26,325","$18,334","$18,950",
Bentley University,MA,Waltham,City: Small,"11,012",Yes,No,45%,61%,---,44%,---,---,---,---,---,---,---,---,---,---,28,31,31,34,---,---,31,29,---,25,---,---,29,32,---,2%,630,650,700,730,1330,1410,680,650,1250,19%,41%,59%,---,17%,5%,61%,---,12%,---,5%,"$63,890","$63,890","$87,570",618,436,"1,120","4,526",80%,93%,87%,"$21,176",75%,"$31,341","$43,858","$1,506","$5,376","$3,006","$11,438","$5,369","$25,833","$33,293",88%,86%,17%,16%,18%,87%,85%,45%,47%,12%,18%,"$49,750","$35,581","$25,331","$23,482","$24,239",
Berklee College of Music,MA,Boston,City: Large,"7,050",No,Yes,44%,---,---,44%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,47%,53%,---,19%,9%,54%,---,8%,---,9%,"$54,000","$54,000","$78,460",678,610,"1,502","7,549",50%,89%,67%,"$21,810",74%,"$21,593","$48,608","$1,977","$4,582","$1,405","$14,769","$5,362","$35,881","$21,587",78%,69%,6%,1%,11%,78%,66%,32%,33%,9%,11%,"$56,371","$50,150","$46,723","$39,205","$38,537",
Berry College,GA,Mount Berry,Suburb: Small,"6,544",No,Yes,64%,---,78%,54%,3.87,No,44%,21%,6%,11%,---,---,1%,17%,22,26,28,29,---,---,26,21,---,20,---,---,25,26,---,15%,580,620,680,650,1190,1278,570,545,1100,4%,63%,36%,1%,11%,9%,72%,---,3%,---,5%,"$42,886","$42,886","$60,890",224,388,577,"2,254",62%,84%,69%,"$22,271",100%,"$24,635","$25,383","$2,832","$5,196","$5,629","$8,916","$5,278","$12,918","$30,393",100%,100%,9%,74%,26%,100%,100%,42%,44%,13%,26%,"$28,207","$20,748","$20,283","$15,267","$16,036",
Bethesda University,CA,Anaheim,City: Large,"3,850",No,No,79%,---,---,79%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,25%,75%,---,33%,32%,15%,2%,5%,2%,12%,"$7,220","$7,220","$28,870",27,9,---,212,---,55%,15%,$500,---,$635,"$13,965",$100,"$2,780",$824,"$1,965","$1,965",---,"$2,647",45%,42%,13%,6%,26%,45%,32%,6%,6%,---,39%,"$11,766",---,---,"$8,387","$7,543",
Binghamton University,NY,Vestal,Suburb: Midsize,"53,007",No,Yes,39%,---,59%,29%,3.88,No,63.36%,18.03%,2.18%,4.70%,---,---,0.46%,11.27%,31,32,34,35,---,---,33,30,---,27,---,---,30,32,---,9.10%,660,700,730,760,1410,1490,710,680,1320,43.80%,51%,49%,---,14%,5%,53%,---,20%,---,8%,"$10,567","$32,467","$32,044","1,582","1,658","3,095","14,669",74%,90%,82%,"$6,472",38%,"$4,652","$18,860",$495,"$5,784","$5,037","$7,637","$5,350","$16,977","$10,832",78%,61%,10%,47%,27%,75%,55%,48%,48%,7%,27%,"$28,008","$23,279","$21,832","$16,168","$12,916",
Biola University,CA,La Mirada,Suburb: Large,"3,753",No,Yes,75%,80%,---,53%,3.63,No,14.75%,32.73%,9.71%,13.31%,0.60%,---,5.88%,23.02%,24,28,30,32,---,---,27,23,---,21,---,---,26,27,---,9%,600,640,700,670,1240,1360,600,560,1130,20%,60%,40%,---,26%,3%,43%,---,13%,---,15%,"$50,904","$50,904","$70,164",298,455,753,"3,481",54%,84%,68%,"$21,873",100%,"$24,726","$30,510","$1,682","$5,490","$8,659","$7,140","$5,217","$16,208","$28,096",100%,100%,8%,22%,25%,100%,100%,43%,43%,5%,25%,"$35,263","$28,830","$25,038","$21,504","$23,001",
Boise State University,ID,Boise,City: Midsize,"16,082",No,No,87%,---,---,87%,3.44,No,4.98%,26.56%,15.24%,17.17%,0.74%,0.77%,12.87%,21.67%,20,---,26,26,---,---,---,19,---,18,---,---,---,26,---,4.97%,490,---,610,505,---,---,---,415,---,48.70%,59%,41%,---,16%,2%,70%,1%,3%,---,8%,"$9,429","$28,543","$27,125","1,336","1,955","3,080","24,030",41%,79%,59%,"$2,771",20%,"$6,629","$19,037",$953,"$4,707","$3,512","$7,766","$5,022","$20,548","$8,167",85%,78%,8%,16%,23%,84%,68%,36%,37%,5%,23%,"$22,767","$22,131","$19,197","$16,200","$15,387",
Boston College,MA,Chestnut Hill,City: Small,"34,779",Yes,No,16%,---,---,16%,---,---,---,---,---,---,---,---,---,---,33,34,35,35,---,---,35,34,---,30,---,---,32,34,---,15%,710,730,760,780,1490,1540,760,730,1430,30%,50%,50%,---,13%,5%,62%,---,12%,---,7%,"$73,568","$73,568","$96,902","1,193","1,201","2,335","9,654",88%,95%,91%,"$24,920",3%,"$49,342","$32,590",$481,"$5,587","$2,808","$3,580","$3,580","$3,500","$51,099",55%,43%,13%,5%,13%,51%,42%,32%,32%,---,14%,"$56,247","$23,325","$12,554","$7,655","$5,851",
Boston University,MA,Boston,City: Large,"78,769",Yes,No,11%,28%,---,9%,3.9,No,41%,37%,---,1%,---,---,---,22%,32,33,34,35,---,---,35,33,---,29,---,---,31,35,---,10%,690,710,750,780,1470,1520,760,730,1400,33%,60%,40%,---,15%,8%,41%,---,26%,---,11%,"$71,372","$71,372","$94,427","1,267","1,886","3,145","18,805",80%,95%,89%,"$47,920",13%,"$52,523","$27,551","$2,545","$5,448","$4,303","$11,732","$4,064","$32,233","$55,080",55%,50%,16%,3%,19%,53%,49%,19%,21%,5%,19%,"$48,018","$25,501","$13,639","$11,167","$11,453",
Bowdoin College,ME,Brunswick,Town: Fringe,"13,265",Yes,No,7%,13%,---,6%,---,---,---,---,---,---,---,---,---,---,33,34,35,36,---,---,35,35,---,30,---,---,32,34,---,16.77%,730,750,770,780,1510,1550,760,740,1480,31.16%,54%,46%,---,16%,6%,57%,---,12%,---,10%,"$71,740","$71,740","$93,800",232,275,504,"1,881",72%,97%,95%,"$1,000",3%,"$54,801","$23,110","$3,000","$5,394","$2,500","$14,218","$5,098","$26,916","$57,280",55%,52%,9%,2%,18%,53%,52%,9%,11%,4%,18%,"$42,867","$20,899","$6,764","$3,464","$3,275",
Brandeis University,MA,Waltham,City: Small,"10,462",---,---,41%,42%,---,40%,3.9,No,33.80%,31.40%,2.40%,7.40%,---,---,2.10%,22.90%,31,33,34,35,---,---,34,31,---,27,---,---,31,34,---,10%,690,720,750,770,1470,1530,750,700,1390,30%,56%,44%,---,11%,7%,51%,---,22%,---,8%,"$70,532","$70,532","$93,686",323,412,865,"3,632",74%,87%,83%,"$15,166",34%,"$35,576","$44,668","$1,733","$5,666","$3,586","$6,394","$3,824","$29,989","$37,489",71%,68%,14%,6%,15%,69%,68%,25%,26%,2%,15%,"$53,720","$26,231","$17,974","$15,077","$12,366",
Brigham Young University,UT,Provo,City: Midsize,"11,698",No,No,68%,---,---,68%,3.9,No,28.75%,59.22%,0.48%,1.94%,---,---,0.20%,9.41%,28,30,32,34,---,---,31,27,---,26,---,---,28,31,---,46%,640,680,730,730,1360,1450,680,630,1290,12%,58%,42%,---,8%,---,83%,---,2%,1%,6%,"$6,888","$6,888","$22,540","2,522","3,478","6,067","32,952",27%,91%,81%,"$2,525",19%,"$4,854","$14,643",---,"$5,618","$1,918","$5,745","$5,435","$8,228","$6,284",64%,46%,---,12%,11%,51%,44%,9%,9%,---,11%,"$20,042","$16,389","$12,374","$10,224","$9,531",
Brigham Young University-Hawaii,HI,Laie,Town: Fringe,"1,270",No,No,38%,---,---,38%,---,---,---,---,---,---,---,---,---,---,21,22,25,25,---,---,22,20,---,18,---,---,22,25,---,27%,500,540,608,583,1055,1191,515,485,985,8%,55%,45%,---,13%,1%,39%,---,16%,11%,19%,"$6,624","$6,624","$28,235",149,184,335,"2,836",35%,67%,50%,"$1,500",---,"$4,705","$17,887",---,"$2,840",---,"$1,502","$1,406","$6,000","$4,733",60%,55%,---,---,12%,60%,48%,14%,14%,---,12%,---,---,---,---,"$13,884",
Brigham Young University-Idaho,ID,Rexburg,Town: Distant,"10,303",No,No,97%,---,---,97%,---,---,---,---,---,---,---,---,---,---,20,23,26,26,---,---,22,19,---,18,---,---,22,26,---,40%,500,550,610,590,1090,1200,540,480,980,32%,60%,40%,---,19%,3%,61%,---,1%,1%,15%,"$4,944","$4,944","$16,932","1,439","2,137","4,334","42,996",13%,70%,44%,---,---,"$3,715","$7,295",---,"$7,152","$3,330","$5,722","$5,664","$5,777","$6,043",59%,47%,---,7%,19%,54%,36%,14%,14%,---,19%,"$12,309","$8,757","$5,457","$4,175","$3,102",
Broadview College,---,West Jordan,---,---,---,---,---,---,---,---,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9%,4%,71%,1%,2%,1%,12%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Brookline College-Phoenix,---,Phoenix,---,827,---,---,86%,---,---,86%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,95%,5%,---,33%,12%,19%,6%,2%,1%,26%,---,---,---,3,59,---,714,63%,---,63%,---,---,---,---,$503,"$5,396",---,"$6,904","$6,578","$13,500","$4,861",87%,81%,34%,---,81%,87%,---,72%,72%,2%,81%,---,---,---,---,---,
Brown University,RI,Providence,City: Midsize,"48,904",Yes,No,5%,14%,---,4%,---,---,---,---,---,---,---,---,---,---,34,35,35,36,---,---,35,35,---,32,---,---,34,35,---,24%,740,760,780,800,1540,1570,780,770,1500,61%,50%,50%,---,14%,9%,38%,---,26%,---,12%,"$74,550","$74,550","$97,184",855,863,"1,695","7,910",77%,99%,96%,"$21,278",1%,"$56,435","$26,608","$3,567","$5,356","$1,250","$11,780","$4,879","$28,861","$58,378",61%,51%,8%,---,14%,52%,51%,9%,10%,2%,14%,"$45,823","$19,526","$7,757","$2,273",---,
Bryan College of Health Sciences,NE,Lincoln,City: Large,151,---,---,63%,---,---,63%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,96%,4%,---,8%,1%,83%,---,2%,---,5%,"$17,436","$17,436","$17,436",2,44,64,610,72%,81%,72%,---,---,"$3,940","$21,834","$1,439","$1,252","$1,439","$14,601","$7,724","$14,397","$6,891",97%,74%,29%,29%,29%,97%,74%,74%,77%,39%,29%,"$26,339","$26,356","$25,252","$22,110","$26,673",
Bryant University,RI,Smithfield,Suburb: Large,"9,825",Yes,Yes,65%,67%,89%,45%,3.53,No,18.79%,16.95%,14.43%,16.27%,0.80%,---,14.89%,17.87%,27,30,28,---,---,---,---,---,---,---,---,---,---,---,---,1.02%,610,620,660,670,1250,1340,630,580,1160,10.65%,37%,63%,---,10%,4%,77%,---,4%,---,4%,"$54,404","$54,404","$75,614",556,327,948,"3,200",76%,87%,80%,$62,98%,"$26,731","$40,612",$701,"$5,001","$3,778","$14,564","$5,263","$26,038","$27,469",99%,98%,12%,2%,12%,99%,98%,58%,61%,22%,12%,"$42,552","$41,023","$38,987","$36,310","$33,555",
Bryn Mawr College,PA,Bryn Mawr,Suburb: Large,"4,094",Yes,No,29%,37%,---,29%,---,---,---,---,---,---,---,---,---,---,29,32,33,35,---,---,34,30,---,25,---,---,29,31,---,20.79%,660,710,750,760,1390,1470,680,620,1300,63.68%,100%,---,---,10%,6%,58%,---,14%,---,12%,"$68,790","$68,790","$91,610",---,361,361,"1,368",73%,92%,82%,"$5,438",37%,"$39,066","$39,383",$800,"$5,666","$3,942","$7,111","$5,278","$15,290","$39,997",79%,73%,11%,3%,11%,78%,73%,56%,62%,10%,11%,"$49,566","$25,044","$12,873","$4,557","$3,323",
Bucknell University,PA,Lewisburg,Town: Distant,"11,377",Yes,No,29%,55%,---,26%,3.62,No,7.47%,30.37%,9.08%,20.38%,---,---,2.02%,30.68%,26,32,32,33,---,---,34,24,---,24,---,---,29,30,---,19%,590,680,690,690,1370,1450,690,570,1300,68%,53%,47%,---,9%,4%,77%,---,5%,---,5%,"$70,576","$70,576","$91,836",470,521,"1,030","3,920",81%,94%,86%,"$19,010",15%,"$39,760","$38,486","$3,425","$5,222","$3,868","$12,134","$5,357","$28,456","$41,211",63%,56%,5%,7%,12%,62%,56%,37%,38%,9%,12%,"$55,354","$36,128","$20,932","$19,554","$21,406",
Bushnell University,OR,Eugene,City: Midsize,871,No,No,67%,---,---,67%,3.54,No,11.82%,25.46%,11.82%,10.91%,4.55%,---,6.36%,29.09%,18,---,20,19,---,---,---,18,---,15,---,---,---,16,---,5%,520,570,635,680,1120,1315,550,490,1010,4%,53%,47%,---,18%,3%,63%,1%,3%,1%,11%,"$36,950","$36,950","$52,350",51,58,83,520,53%,76%,56%,"$17,709",100%,"$20,178","$22,534","$1,186","$5,158","$4,253","$6,755","$5,424","$16,300","$22,933",100%,100%,27%,16%,30%,100%,100%,54%,54%,4%,35%,"$27,182","$24,304","$19,732","$21,119","$18,377",
Butler University,IN,Indianapolis,City: Large,"9,471",No,Yes,85%,---,---,85%,3.86,No,40%,22%,6%,11%,1%,---,2%,18%,26,28,31,33,---,---,28,25,---,24,---,---,27,30,---,19%,590,630,680,670,1260,1360,630,570,1180,35%,63%,37%,---,7%,5%,78%,---,4%,---,5%,"$49,890","$49,890","$73,160",380,656,"1,151","4,489",73%,88%,80%,"$24,274",93%,"$22,909","$40,140","$1,441","$5,340","$7,598","$10,937","$5,607","$23,142","$24,662",98%,97%,5%,13%,16%,98%,96%,45%,46%,11%,16%,"$42,961","$39,491","$36,016","$31,406","$28,607",
Cabarrus College of Health Sciences,NC,Concord,City: Small,63,No,No,49%,---,---,49%,---,---,---,---,---,---,---,---,---,---,16,19,22,21,---,---,19,15,---,16,---,---,17,19,---,63%,500,520,540,520,1020,1060,500,470,970,38%,95%,5%,---,8%,26%,56%,---,3%,---,6%,"$16,940","$16,940","$16,940",1,18,24,661,---,---,---,---,---,"$2,087","$14,344","$1,000","$4,344","$5,784","$8,422","$5,348","$9,222","$9,633",100%,78%,11%,56%,33%,100%,78%,100%,100%,33%,33%,"$24,431","$19,664","$14,264","$13,016","$9,174",
California Aeronautical University,---,Ventura,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,37%,6%,42%,---,10%,1%,4%,"$35,465","$35,465","$47,437",---,---,---,330,67%,75%,67%,---,---,"$2,740","$36,328","$2,000","$6,714",---,"$12,230","$9,962","$28,348","$8,311",96%,74%,48%,---,48%,96%,33%,93%,93%,7%,48%,"$43,331","$41,966","$37,028","$34,853","$34,367",
California Baptist University,CA,Riverside,City: Large,"8,839",---,---,85%,---,---,85%,3.44,No,15.48%,16.99%,13.76%,17.63%,5.16%,0.23%,12.04%,17.85%,19,---,27,26,---,---,---,20,---,17,---,---,---,25,---,2%,460,---,610,580,---,---,---,450,---,10%,64%,36%,---,45%,7%,31%,---,6%,1%,11%,"$42,788","$42,788","$65,152",579,"1,011","1,282","8,417",44%,75%,62%,"$17,241",94%,"$17,460","$28,596","$1,844","$5,149","$7,920","$7,627","$5,236","$19,463","$23,828",100%,99%,22%,47%,43%,99%,99%,65%,65%,8%,43%,"$34,648","$28,057","$23,799","$24,409","$23,788",
California College of the Arts,CA,San Francisco,City: Large,"2,371",---,Yes,91%,---,---,91%,3.34,No,9%,16%,11%,22%,1%,---,20%,21%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,69%,31%,---,24%,6%,31%,---,23%,---,16%,"$61,764","$61,764","$89,594",47,106,186,"1,004",47%,87%,61%,"$16,811",120%,"$27,116","$49,945","$3,063","$5,162","$3,897","$9,197","$5,550","$35,807","$29,175",85%,85%,5%,11%,20%,85%,85%,52%,52%,5%,20%,"$52,438","$44,139","$42,404","$28,423","$32,800",
California Institute of Integral Studies,CA,San Francisco,City: Large,---,No,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,18%,13%,50%,3%,3%,3%,13%,"$23,860","$23,860","$23,860",---,---,---,38,---,---,---,---,---,---,---,---,"$6,408",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
